Price,Area,Location,No. of Bedrooms,City,Locality,Latitude,Longitude,Property_Type,Furnishing_Status,Unnamed: 0,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
14191475,2307,Gachibowli,4,Hyderabad,Gachibowli,17.44908,78.347508,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
3492732,1020,LB Nagar,2,Hyderabad,LB Nagar,17.341785,78.558873,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
5321413,1285,Nizampet,3,Hyderabad,Nizampet,17.505071,78.382465,Apartment,Unfurnished,,,,,,,,,,,,,,,
5048132,990,SR Nagar,2,Hyderabad,SR Nagar,17.434867,78.453126,Apartment,Unfurnished,,,,,,,,,,,,,,,
4533972,1044,Ameerpet,2,Hyderabad,Ameerpet,17.442644,78.45753,Apartment,Unfurnished,,,,,,,,,,,,,,,
14841862,1725,Madhapur,3,Hyderabad,Madhapur,17.445093,78.382428,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
6185592,1090,Secunderabad,2,Hyderabad,Secunderabad,17.436738,78.501195,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
7179523,1452,Secunderabad,3,Hyderabad,Secunderabad,17.445725,78.493088,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
11636775,1882,Nizampet,3,Hyderabad,Nizampet,17.503701,78.392233,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
22430670,1727,Jubilee Hills,3,Hyderabad,Jubilee Hills,17.425122,78.407293,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
5829752,1198,Manikonda,2,Hyderabad,Manikonda,17.406164,78.384019,Apartment,Unfurnished,,,,,,,,,,,,,,,
12579520,1664,Gachibowli,3,Hyderabad,Gachibowli,17.438272,78.346063,Villa,Semi-Furnished,,,,,,,,,,,,,,,
9138815,1909,Kondapur,3,Hyderabad,Kondapur,17.470215,78.361772,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
6139380,1187,Dilsukhnagar,2,Hyderabad,Dilsukhnagar,17.375441,78.519193,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
10045202,1473,Kondapur,3,Hyderabad,Kondapur,17.456377,78.359542,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
27990137,2776,Jubilee Hills,3,Hyderabad,Jubilee Hills,17.436119,78.401075,Villa,Fully-Furnished,,,,,,,,,,,,,,,
14359013,2061,Kondapur,3,Hyderabad,Kondapur,17.468456,78.359552,Villa,Unfurnished,,,,,,,,,,,,,,,
12674460,2986,Gachibowli,3,Hyderabad,Gachibowli,17.430615,78.346814,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
11464927,1800,Kukatpally,3,Hyderabad,Kukatpally,17.485258,78.397969,Apartment,Unfurnished,,,,,,,,,,,,,,,
5747353,1019,Uppal,2,Hyderabad,Uppal,17.399257,78.56688,Villa,Unfurnished,,,,,,,,,,,,,,,
30471102,2604,Banjara Hills,4,Hyderabad,Banjara Hills,17.421829,78.483436,Villa,Semi-Furnished,,,,,,,,,,,,,,,
8883162,1567,Kukatpally,3,Hyderabad,Kukatpally,17.491237,78.388595,Apartment,Unfurnished,,,,,,,,,,,,,,,
23232231,1969,Jubilee Hills,4,Hyderabad,Jubilee Hills,17.425337,78.411213,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
5807253,1375,Miyapur,3,Hyderabad,Miyapur,17.492429,78.352667,Apartment,Unfurnished,,,,,,,,,,,,,,,
4770938,1115,LB Nagar,2,Hyderabad,LB Nagar,17.35987,78.548869,Apartment,Unfurnished,,,,,,,,,,,,,,,
4723372,1100,Uppal,2,Hyderabad,Uppal,17.400806,78.563452,Villa,Semi-Furnished,,,,,,,,,,,,,,,
7528469,1392,Secunderabad,3,Hyderabad,Secunderabad,17.430234,78.504279,Apartment,Unfurnished,,,,,,,,,,,,,,,
14151035,1565,Hitech City,3,Hyderabad,Hitech City,17.447954,78.36234,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
4872091,968,Secunderabad,2,Hyderabad,Secunderabad,17.436455,78.499927,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
9215788,1805,SR Nagar,4,Hyderabad,SR Nagar,17.420756,78.461187,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
10872693,1799,Miyapur,3,Hyderabad,Miyapur,17.488837,78.356966,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
6152429,1309,Dilsukhnagar,3,Hyderabad,Dilsukhnagar,17.359893,78.530611,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
15047848,2332,Madhapur,3,Hyderabad,Madhapur,17.450256,78.396099,Villa,Unfurnished,,,,,,,,,,,,,,,
8745144,1557,Kondapur,3,Hyderabad,Kondapur,17.465483,78.369286,Villa,Semi-Furnished,,,,,,,,,,,,,,,
25372634,2156,Banjara Hills,4,Hyderabad,Banjara Hills,17.414301,78.470485,Apartment,Unfurnished,,,,,,,,,,,,,,,
7819771,1714,Secunderabad,3,Hyderabad,Secunderabad,17.446926,78.504467,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
14324221,1713,Hitech City,3,Hyderabad,Hitech City,17.443236,78.364312,Villa,Unfurnished,,,,,,,,,,,,,,,
5826166,1366,Bachupally,3,Hyderabad,Bachupally,17.542068,78.382754,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
9111549,1491,Kukatpally,3,Hyderabad,Kukatpally,17.495188,78.395632,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
8323526,1847,Kukatpally,3,Hyderabad,Kukatpally,17.487836,78.407836,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
36882152,3114,Banjara Hills,3,Hyderabad,Banjara Hills,17.432984,78.483552,Apartment,Unfurnished,,,,,,,,,,,,,,,
11854338,1756,Banjara Hills,3,Hyderabad,Banjara Hills,17.431525,78.471549,Apartment,Unfurnished,,,,,,,,,,,,,,,
24909115,3337,Gachibowli,4,Hyderabad,Gachibowli,17.44668,78.355111,Villa,Unfurnished,,,,,,,,,,,,,,,
6413108,1536,Miyapur,3,Hyderabad,Miyapur,17.504133,78.351961,Apartment,Unfurnished,,,,,,,,,,,,,,,
8314230,1685,SR Nagar,3,Hyderabad,SR Nagar,17.428706,78.451203,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
15569920,2697,Kondapur,3,Hyderabad,Kondapur,17.45892,78.355884,Villa,Unfurnished,,,,,,,,,,,,,,,
9490915,1274,Kondapur,3,Hyderabad,Kondapur,17.456509,78.360469,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
3167561,720,Uppal,1,Hyderabad,Uppal,17.409335,78.556061,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
9495186,1954,Bachupally,3,Hyderabad,Bachupally,17.54939,78.390028,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
6816473,1454,Secunderabad,3,Hyderabad,Secunderabad,17.440489,78.499255,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
13561581,1695,Gachibowli,3,Hyderabad,Gachibowli,17.43163,78.341876,Penthouse,Semi-Furnished,,,,,,,,,,,,,,,
6733425,1201,Hitech City,3,Hyderabad,Hitech City,17.451947,78.367018,Villa,Semi-Furnished,,,,,,,,,,,,,,,
10965333,1704,Madhapur,3,Hyderabad,Madhapur,17.44927,78.392366,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
6117536,1109,LB Nagar,2,Hyderabad,LB Nagar,17.35742,78.544779,Apartment,Unfurnished,,,,,,,,,,,,,,,
20445360,2897,Gachibowli,3,Hyderabad,Gachibowli,17.441006,78.355288,Villa,Unfurnished,,,,,,,,,,,,,,,
7182986,1366,Ameerpet,3,Hyderabad,Ameerpet,17.44421,78.444195,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
4760762,1077,Kompally,2,Hyderabad,Kompally,17.542216,78.483515,Villa,Unfurnished,,,,,,,,,,,,,,,
4947270,1064,Nizampet,2,Hyderabad,Nizampet,17.512023,78.389714,Apartment,Unfurnished,,,,,,,,,,,,,,,
4097574,896,Uppal,2,Hyderabad,Uppal,17.40851,78.567395,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
5654714,1253,Miyapur,3,Hyderabad,Miyapur,17.490529,78.348472,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
10419546,1945,Miyapur,3,Hyderabad,Miyapur,17.506214,78.361142,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
13824629,2173,Madhapur,3,Hyderabad,Madhapur,17.439992,78.381536,Apartment,Unfurnished,,,,,,,,,,,,,,,
22301588,3432,Gachibowli,3,Hyderabad,Gachibowli,17.442437,78.34576,Villa,Unfurnished,,,,,,,,,,,,,,,
5281744,915,Nizampet,2,Hyderabad,Nizampet,17.518537,78.385858,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
16005587,1884,Gachibowli,3,Hyderabad,Gachibowli,17.434357,78.345786,Apartment,Unfurnished,,,,,,,,,,,,,,,
7552487,1377,Gachibowli,3,Hyderabad,Gachibowli,17.438101,78.344925,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
6210671,1619,SR Nagar,3,Hyderabad,SR Nagar,17.4303,78.459142,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
22823158,1701,Jubilee Hills,3,Hyderabad,Jubilee Hills,17.436896,78.405231,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
5090905,1078,Nizampet,2,Hyderabad,Nizampet,17.505814,78.380541,Apartment,Unfurnished,,,,,,,,,,,,,,,
3814648,705,Uppal,1,Hyderabad,Uppal,17.403991,78.562609,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
16294580,2438,Jubilee Hills,3,Hyderabad,Jubilee Hills,17.428641,78.401243,Villa,Fully-Furnished,,,,,,,,,,,,,,,
6086878,1144,Bachupally,2,Hyderabad,Bachupally,17.535521,78.391817,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
18971072,3382,Madhapur,3,Hyderabad,Madhapur,17.449311,78.394238,Villa,Semi-Furnished,,,,,,,,,,,,,,,
44149333,2887,Banjara Hills,3,Hyderabad,Banjara Hills,17.423732,78.466382,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
7669556,1338,Secunderabad,3,Hyderabad,Secunderabad,17.441368,78.498679,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
5138151,1108,Bachupally,2,Hyderabad,Bachupally,17.551755,78.389072,Apartment,Unfurnished,,,,,,,,,,,,,,,
8480036,1793,Kompally,3,Hyderabad,Kompally,17.555994,78.48193,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
7828527,1840,Manikonda,4,Hyderabad,Manikonda,17.404182,78.378995,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
3466388,713,LB Nagar,1,Hyderabad,LB Nagar,17.34854,78.559611,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
9010620,1640,Manikonda,3,Hyderabad,Manikonda,17.392921,78.394372,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
3917353,983,Secunderabad,2,Hyderabad,Secunderabad,17.442868,78.490647,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
4840337,858,LB Nagar,2,Hyderabad,LB Nagar,17.3448,78.548746,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
8487881,1521,Nizampet,3,Hyderabad,Nizampet,17.500898,78.394139,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
7220222,1450,Uppal,3,Hyderabad,Uppal,17.409869,78.56282,Apartment,Unfurnished,,,,,,,,,,,,,,,
7775741,1374,Ameerpet,3,Hyderabad,Ameerpet,17.437543,78.440632,Apartment,Unfurnished,,,,,,,,,,,,,,,
7013463,1075,Nizampet,2,Hyderabad,Nizampet,17.500826,78.386032,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
11614964,1898,Secunderabad,3,Hyderabad,Secunderabad,17.448368,78.502296,Apartment,Unfurnished,,,,,,,,,,,,,,,
4305916,1280,Dilsukhnagar,3,Hyderabad,Dilsukhnagar,17.377167,78.527322,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
6246315,1194,Uppal,2,Hyderabad,Uppal,17.413219,78.550097,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
17437997,1554,Jubilee Hills,3,Hyderabad,Jubilee Hills,17.434905,78.415776,Villa,Fully-Furnished,,,,,,,,,,,,,,,
9072356,1802,Bachupally,3,Hyderabad,Bachupally,17.553694,78.37546,Apartment,Unfurnished,,,,,,,,,,,,,,,
9465896,1920,SR Nagar,3,Hyderabad,SR Nagar,17.421389,78.456826,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
23929884,3425,Madhapur,4,Hyderabad,Madhapur,17.441151,78.398217,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
7830894,1474,Bachupally,3,Hyderabad,Bachupally,17.553902,78.385842,Apartment,Unfurnished,,,,,,,,,,,,,,,
18560630,2958,Madhapur,3,Hyderabad,Madhapur,17.451565,78.397301,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
5690425,1008,Uppal,2,Hyderabad,Uppal,17.401966,78.56607,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
5079318,1133,Dilsukhnagar,2,Hyderabad,Dilsukhnagar,17.360141,78.522246,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
10756401,1947,Kukatpally,4,Hyderabad,Kukatpally,17.487831,78.392973,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
26082762,3241,Hitech City,4,Hyderabad,Hitech City,17.441198,78.37484,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
4938264,910,SR Nagar,2,Hyderabad,SR Nagar,17.435814,78.452363,Apartment,Unfurnished,,,,,,,,,,,,,,,
8462846,1424,Miyapur,3,Hyderabad,Miyapur,17.487292,78.352584,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
9687292,1709,Secunderabad,3,Hyderabad,Secunderabad,17.447697,78.49699,Apartment,Unfurnished,,,,,,,,,,,,,,,
4676607,1122,LB Nagar,2,Hyderabad,LB Nagar,17.352543,78.555803,Apartment,Unfurnished,,,,,,,,,,,,,,,
3601651,898,LB Nagar,2,Hyderabad,LB Nagar,17.352649,78.546506,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
14064221,1798,Hitech City,3,Hyderabad,Hitech City,17.457037,78.374778,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
19011342,2502,Jubilee Hills,3,Hyderabad,Jubilee Hills,17.43491,78.411999,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
6310841,1029,Ameerpet,2,Hyderabad,Ameerpet,17.43617,78.445785,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
4778457,995,Ameerpet,2,Hyderabad,Ameerpet,17.445008,78.443721,Apartment,Unfurnished,,,,,,,,,,,,,,,
5458804,1209,Kompally,3,Hyderabad,Kompally,17.548161,78.487376,Apartment,Unfurnished,,,,,,,,,,,,,,,
8026349,1274,Kondapur,3,Hyderabad,Kondapur,17.457633,78.365508,Villa,Unfurnished,,,,,,,,,,,,,,,
5933756,1377,Dilsukhnagar,3,Hyderabad,Dilsukhnagar,17.360805,78.521082,Apartment,Unfurnished,,,,,,,,,,,,,,,
6448308,1254,Kompally,3,Hyderabad,Kompally,17.559484,78.494822,Apartment,Unfurnished,,,,,,,,,,,,,,,
12347240,2315,Gachibowli,3,Hyderabad,Gachibowli,17.445899,78.339811,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
4840606,925,Dilsukhnagar,2,Hyderabad,Dilsukhnagar,17.359958,78.533169,Apartment,Unfurnished,,,,,,,,,,,,,,,
5690319,1204,Miyapur,3,Hyderabad,Miyapur,17.499116,78.354099,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
5294631,1082,LB Nagar,2,Hyderabad,LB Nagar,17.359831,78.542087,Villa,Semi-Furnished,,,,,,,,,,,,,,,
6630006,1423,Ameerpet,3,Hyderabad,Ameerpet,17.429203,78.450151,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
16955319,2602,Kondapur,3,Hyderabad,Kondapur,17.464091,78.365174,Villa,Fully-Furnished,,,,,,,,,,,,,,,
38749019,3499,Jubilee Hills,3,Hyderabad,Jubilee Hills,17.432269,78.403672,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
8972178,1962,Bachupally,4,Hyderabad,Bachupally,17.551433,78.393188,Apartment,Unfurnished,,,,,,,,,,,,,,,
10410436,1963,Miyapur,3,Hyderabad,Miyapur,17.50631,78.352815,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
8927189,1598,Secunderabad,3,Hyderabad,Secunderabad,17.442285,78.491795,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
19432453,2664,Hitech City,4,Hyderabad,Hitech City,17.442606,78.36133,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
17814419,1562,Banjara Hills,3,Hyderabad,Banjara Hills,17.415447,78.478594,Villa,Unfurnished,,,,,,,,,,,,,,,
8252342,1976,Nizampet,4,Hyderabad,Nizampet,17.506254,78.385653,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
7786454,1522,Manikonda,3,Hyderabad,Manikonda,17.41078,78.384284,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
9753067,1652,Kukatpally,3,Hyderabad,Kukatpally,17.493995,78.393452,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
7092943,1789,Bachupally,3,Hyderabad,Bachupally,17.53506,78.390883,Villa,Unfurnished,,,,,,,,,,,,,,,
18603509,2475,Hitech City,3,Hyderabad,Hitech City,17.443533,78.374095,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
6807615,1469,LB Nagar,3,Hyderabad,LB Nagar,17.343143,78.544398,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
24275332,2363,Jubilee Hills,3,Hyderabad,Jubilee Hills,17.439081,78.414892,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
5535867,1055,Kompally,2,Hyderabad,Kompally,17.544842,78.486047,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
9419361,1488,Ameerpet,3,Hyderabad,Ameerpet,17.427694,78.45121,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
20321039,2987,Hitech City,4,Hyderabad,Hitech City,17.438542,78.374235,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
8395604,1764,Ameerpet,3,Hyderabad,Ameerpet,17.439799,78.445307,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
7084034,1304,Manikonda,3,Hyderabad,Manikonda,17.405995,78.388661,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
4349512,1064,Secunderabad,2,Hyderabad,Secunderabad,17.441989,78.500054,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
33400056,2833,Jubilee Hills,3,Hyderabad,Jubilee Hills,17.430605,78.406913,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
8239938,1905,Miyapur,3,Hyderabad,Miyapur,17.488888,78.365553,Apartment,Unfurnished,,,,,,,,,,,,,,,
3562783,938,Dilsukhnagar,2,Hyderabad,Dilsukhnagar,17.375535,78.528779,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
8055626,1601,Nizampet,3,Hyderabad,Nizampet,17.506017,78.38022,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
21859701,2740,Jubilee Hills,3,Hyderabad,Jubilee Hills,17.432329,78.40367,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
7264277,1728,Secunderabad,3,Hyderabad,Secunderabad,17.436372,78.505988,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
5070028,1315,Uppal,3,Hyderabad,Uppal,17.407596,78.564868,Apartment,Unfurnished,,,,,,,,,,,,,,,
7565665,1307,Nizampet,3,Hyderabad,Nizampet,17.500593,78.382335,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
10955304,2131,Madhapur,3,Hyderabad,Madhapur,17.45442,78.38958,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
11566717,1714,Gachibowli,3,Hyderabad,Gachibowli,17.434998,78.349388,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
5103779,1173,Manikonda,2,Hyderabad,Manikonda,17.408411,78.379705,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
10112420,1647,Kompally,3,Hyderabad,Kompally,17.559133,78.48699,Apartment,Unfurnished,,,,,,,,,,,,,,,
9529219,1631,SR Nagar,3,Hyderabad,SR Nagar,17.42232,78.451954,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
7012608,1213,SR Nagar,3,Hyderabad,SR Nagar,17.433015,78.462227,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
4667347,843,Uppal,2,Hyderabad,Uppal,17.414773,78.550326,Apartment,Unfurnished,,,,,,,,,,,,,,,
10134000,1620,Secunderabad,3,Hyderabad,Secunderabad,17.432489,78.490805,Apartment,Unfurnished,,,,,,,,,,,,,,,
7108065,1743,Miyapur,3,Hyderabad,Miyapur,17.501628,78.355877,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
16730603,2230,Banjara Hills,3,Hyderabad,Banjara Hills,17.430526,78.474194,Apartment,Unfurnished,,,,,,,,,,,,,,,
3870898,951,Manikonda,2,Hyderabad,Manikonda,17.405035,78.388859,Villa,Semi-Furnished,,,,,,,,,,,,,,,
6449742,1329,Kukatpally,3,Hyderabad,Kukatpally,17.491282,78.40442,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
4918370,1133,SR Nagar,2,Hyderabad,SR Nagar,17.422832,78.452503,Apartment,Unfurnished,,,,,,,,,,,,,,,
4236550,1222,Bachupally,3,Hyderabad,Bachupally,17.544424,78.376109,Villa,Semi-Furnished,,,,,,,,,,,,,,,
7452038,1355,Kukatpally,3,Hyderabad,Kukatpally,17.486076,78.407565,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
5759860,1210,Manikonda,3,Hyderabad,Manikonda,17.410122,78.39324,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
11173167,2455,Kondapur,3,Hyderabad,Kondapur,17.46684,78.36926,Apartment,Unfurnished,,,,,,,,,,,,,,,
9855721,1912,Secunderabad,3,Hyderabad,Secunderabad,17.442979,78.505411,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
20220242,2753,Banjara Hills,3,Hyderabad,Banjara Hills,17.422433,78.475802,Apartment,Unfurnished,,,,,,,,,,,,,,,
25888474,3108,Gachibowli,3,Hyderabad,Gachibowli,17.446241,78.344045,Villa,Semi-Furnished,,,,,,,,,,,,,,,
10363817,1871,Madhapur,3,Hyderabad,Madhapur,17.448099,78.393386,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
12047694,1546,Jubilee Hills,3,Hyderabad,Jubilee Hills,17.422895,78.397598,Apartment,Unfurnished,,,,,,,,,,,,,,,
